File.accession	File.format	Output.type	Experiment.accession	Assay	Biosample.term.id	Biosample.term.name	Biosample.type	Biosample.organism	Biosample.treatments	Biosample.treatments.amount	Biosample.treatments.duration	Biosample.genetic.modifications.methods	Biosample.genetic.modifications.categories	Biosample.genetic.modifications.targets	Biosample.genetic.modifications.gene.targets	Biosample.genetic.modifications.site.coordinates	Biosample.genetic.modifications.zygosity	Experiment.target	Library.made.from	Library.depleted.in	Library.extraction.method	Library.lysis.method	Library.crosslinking.method	Library.strand.specific	Experiment.date.released	Project	RBNS.protein.concentration	Library.fragmentation.method	Library.size.range	Biological.replicate.s.	Technical.replicate	Read.length	Mapped.read.length	Run.type	Paired.end	Paired.with	Derived.from	Size	Lab	md5sum	dbxrefs	File.download.URL	Assembly	Genome.annotation	Platform	Controlled.by	File.Status	s3_uri	Audit.WARNING	Audit.INTERNAL_ACTION	Audit.NOT_COMPLIANT	Audit.ERROR
ENCFF322FWU	bed narrowPeak	optimal IDR thresholded peaks	ENCSR130VQL	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/PPARG-human/	NA	NA	NA	PPARG-human	DNA	NA	NA			False	2016-11-08	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF195IUC, ENCFF920SYY, ENCFF972IJA	456576	ENCODE Processing Pipeline	3df27f1c2fbe8b00e59f7e9610cc3edf		https://www.encodeproject.org/files/ENCFF322FWU/@@download/ENCFF322FWU.bed.gz	hg19	NA			released	s3://encode-public/2018/11/19/67df535f-9df0-47f2-b13b-78feff5fb7e9/ENCFF322FWU.bed.gz	NA	NA	NA	NA
ENCFF716MKU	bed narrowPeak	optimal IDR thresholded peaks	ENCSR210HBN	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/IKZF5-human/	NA	NA	NA	IKZF5-human	DNA	NA	NA			False	2018-02-12	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF243RSC, ENCFF544WYW, ENCFF654CCR	530108	ENCODE Processing Pipeline	e8448b8cc9fdc022242ae89016faa9ac		https://www.encodeproject.org/files/ENCFF716MKU/@@download/ENCFF716MKU.bed.gz	hg19	NA			released	s3://encode-public/2018/02/09/a797d446-457a-4e0d-a91a-80f2b875c3a0/ENCFF716MKU.bed.gz	NA	NA	NA	NA
ENCFF303DEY	bed narrowPeak	optimal IDR thresholded peaks	ENCSR115PIK	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/MIER2-human/	NA	NA	NA	MIER2-human	DNA	NA	NA			False	2016-11-08	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF178QBA, ENCFF220NPQ, ENCFF827UFG	311645	ENCODE Processing Pipeline	6f743f7f283c9f70db4960ad4d410dcf		https://www.encodeproject.org/files/ENCFF303DEY/@@download/ENCFF303DEY.bed.gz	hg19	NA			released	s3://encode-public/2018/11/19/bba6fae3-8ec2-4d4d-9139-4b1c56237331/ENCFF303DEY.bed.gz	NA	NA	NA	NA
ENCFF319IEF	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EEE	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	CEBPB-human	DNA	NA	NA			False	2011-10-29	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF359DUK, ENCFF578MYY, ENCFF684XQE	898132	ENCODE Processing Pipeline	27ed624082593d867ab0b13fc13c0765		https://www.encodeproject.org/files/ENCFF319IEF/@@download/ENCFF319IEF.bed.gz	hg19	NA			released	s3://encode-public/2016/12/13/26f39c75-42ab-4f58-983f-f935bf515440/ENCFF319IEF.bed.gz	NA	NA	NA	NA
ENCFF684BLN	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BGM	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	USF1-human	DNA	NA	NA			False	2011-07-18	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF308DEQ, ENCFF316GUJ, ENCFF805TIZ	400681	ENCODE Processing Pipeline	3899b7d76e13cf4087901a7fac9fddb1		https://www.encodeproject.org/files/ENCFF684BLN/@@download/ENCFF684BLN.bed.gz	hg19	NA			released	s3://encode-public/2017/07/08/ac324541-930a-49ba-a883-f3d22aca1051/ENCFF684BLN.bed.gz	NA	NA	NA	NA
ENCFF239IZV	bed narrowPeak	optimal IDR thresholded peaks	ENCSR604UJV	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/IRF2-human/	NA	NA	NA	IRF2-human	DNA	NA	NA			False	2018-02-10	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF322KIX, ENCFF652QAE, ENCFF671KFL	531701	ENCODE Processing Pipeline	81031e4ee612c83893a9c028af52bcf2		https://www.encodeproject.org/files/ENCFF239IZV/@@download/ENCFF239IZV.bed.gz	hg19	NA			released	s3://encode-public/2018/02/09/064cecd7-ac80-412e-b6a5-61e1e40a807c/ENCFF239IZV.bed.gz	NA	NA	NA	NA
ENCFF227PWE	bed narrowPeak	optimal IDR thresholded peaks	ENCSR800QIT	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	HNF1A-human	DNA	NA	NA			False	2016-09-09	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF545UIM, ENCFF949TDA, ENCFF995FGG	252775	ENCODE Processing Pipeline	123eb7f896c8a4e756af0971f159b1b6		https://www.encodeproject.org/files/ENCFF227PWE/@@download/ENCFF227PWE.bed.gz	hg19	NA			released	s3://encode-public/2016/09/06/cf996043-c818-4fa4-9629-bfce6d7ba8f7/ENCFF227PWE.bed.gz	NA	NA	NA	NA
ENCFF763GJP	bed narrowPeak	optimal IDR thresholded peaks	ENCSR730TBC	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	MNT-human	DNA	NA	NA			False	2017-06-07	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF368MWT, ENCFF617PCO, ENCFF641DSK	217965	ENCODE Processing Pipeline	0416804df0cf36ce6c564ea3183bee52		https://www.encodeproject.org/files/ENCFF763GJP/@@download/ENCFF763GJP.bed.gz	hg19	NA			released	s3://encode-public/2017/06/07/0905c193-f59d-41c4-8ad0-baeaf689eee1/ENCFF763GJP.bed.gz	NA	NA	NA	NA
ENCFF086LMU	bed narrowPeak	optimal IDR thresholded peaks	ENCSR771GTF	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	SUZ12-human	DNA	NA	NA			False	2014-07-07	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF186LIR, ENCFF381HBX, ENCFF558TFD	37524	ENCODE Processing Pipeline	749996d8fe43925ce133918d367e2c7b		https://www.encodeproject.org/files/ENCFF086LMU/@@download/ENCFF086LMU.bed.gz	hg19	NA			released	s3://encode-public/2018/02/26/61d1d8a1-d911-4960-8057-4cc57f498d43/ENCFF086LMU.bed.gz	NA	NA	NA	NA
ENCFF038MCY	bed narrowPeak	optimal IDR thresholded peaks	ENCSR887LYD	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens							NA	NA	NA	SMARCC2-human	DNA	NA	NA			False	2017-06-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF497HNH, ENCFF677VMG, ENCFF861IZT	47141	ENCODE Processing Pipeline	aa06ca4c79d567315ac87a58cd2094a4		https://www.encodeproject.org/files/ENCFF038MCY/@@download/ENCFF038MCY.bed.gz	hg19	NA			released	s3://encode-public/2017/06/24/4a4f725a-3a9e-447e-967c-96986317ad38/ENCFF038MCY.bed.gz	NA	NA	NA	NA
