File.accession	File.format	Output.type	Experiment.accession	Assay	Biosample.term.id	Biosample.term.name	Biosample.type	Biosample.organism	Biosample.treatments	Biosample.treatments.amount	Biosample.treatments.duration	Experiment.target	Library.made.from	Library.depleted.in	Library.extraction.method	Library.lysis.method	Library.crosslinking.method	Library.strand.specific	Experiment.date.released	Project	RBNS.protein.concentration	Library.fragmentation.method	Library.size.range	Biological.replicate.s.	Technical.replicate	Read.length	Mapped.read.length	Run.type	Paired.end	Paired.with	Derived.from	Size	Lab	md5sum	dbxrefs	File.download.URL	Assembly	Platform	Controlled.by	File.Status	Restricted	Audit.WARNING	Audit.INTERNAL_ACTION	Audit.NOT_COMPLIANT	Audit.ERROR
ENCFF429XKT	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EHE	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CEBPB-human	DNA		see document	see document		False	2011-10-29	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF143EHM, ENCFF206BMO, ENCFF755NTM	766395	ENCODE Processing Pipeline	88c12b16ffd687378e1854b5f80644c8		https://www.encodeproject.org/files/ENCFF429XKT/@@download/ENCFF429XKT.bed.gz	hg19			released	NA	inconsistent target of control experiment, low read depth, low read length	biological replicates with identical biosample		
ENCFF076IFG	bed narrowPeak	optimal idr thresholded peaks	ENCSR004GKA	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ZEB2-human	DNA					False	2016-06-14	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF101SDV, ENCFF333ULN, ENCFF524RDY	429072	ENCODE Processing Pipeline	2685a6bf489be07bdc3b2f2d29d997cd		https://www.encodeproject.org/files/ENCFF076IFG/@@download/ENCFF076IFG.bed.gz	hg19			released	NA	low read depth, mild to moderate bottlenecking			
ENCFF209MQX	bed narrowPeak	optimal idr thresholded peaks	ENCSR000BRK	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				TEAD4-human	DNA		see document	see document		False	2012-02-29	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF318EUW, ENCFF740XZM, ENCFF835OES	592931	ENCODE Processing Pipeline	445f3e8cab3b8f9e3271a2b0583cf90c		https://www.encodeproject.org/files/ENCFF209MQX/@@download/ENCFF209MQX.bed.gz	hg19			released	NA	low read length, inconsistent platforms	biological replicates with identical biosample		
ENCFF968JVX	bed narrowPeak	optimal idr thresholded peaks	ENCSR395HWC	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				IKZF1-human	DNA					False	2016-04-22	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF038VEX, ENCFF669ACI, ENCFF723ESB	853540	ENCODE Processing Pipeline	684bdc0057a6241a64f889a8afb4cd56		https://www.encodeproject.org/files/ENCFF968JVX/@@download/ENCFF968JVX.bed.gz	hg19			released	NA	low read depth, mild to moderate bottlenecking			
ENCFF048OIZ	bed narrowPeak	optimal idr thresholded peaks	ENCSR782WRO	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				BMI1-human	DNA					False	2014-07-07	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF186JXU, ENCFF594TUH, ENCFF841ZJM	51870	ENCODE Processing Pipeline	0b13df6bf0e0f44b245b86c92814e49f		https://www.encodeproject.org/files/ENCFF048OIZ/@@download/ENCFF048OIZ.bed.gz	hg19			released	NA	borderline replicate concordance, low read length			
ENCFF517YCC	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EFO	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CUX1-human	DNA		see document	see document		False	2012-08-20	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF599SPU, ENCFF675GZY, ENCFF725FYI	119496	ENCODE Processing Pipeline	2b856671dd29071ba3eec1e8a4e8f69d		https://www.encodeproject.org/files/ENCFF517YCC/@@download/ENCFF517YCC.bed.gz	hg19			released	NA	inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF099SDW	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EZU	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	Interferon gamma		6.0 hour	MYC-human	DNA		see document	see document		False	2011-10-29	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF162CMX, ENCFF934ENB, ENCFF987HSI	365512	ENCODE Processing Pipeline	a5ea998d3571ba34457f33fe6da76db2		https://www.encodeproject.org/files/ENCFF099SDW/@@download/ENCFF099SDW.bed.gz	hg19			released	NA	control low read depth, borderline replicate concordance, mixed read lengths	biological replicates with identical biosample	insufficient read length, insufficient read depth	
ENCFF526HLP	bed narrowPeak	optimal idr thresholded peaks	ENCSR030TJP	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				DACH1-human	DNA					False	2018-01-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF218RDF, ENCFF367IRL, ENCFF876GAB	350462	ENCODE Processing Pipeline	d0c60d91b1a0ec1fd66b2497426f4642		https://www.encodeproject.org/files/ENCFF526HLP/@@download/ENCFF526HLP.bed.gz	hg19			released	NA		experiment not submitted to GEO	partially characterized antibody	
ENCFF972LPT	bed narrowPeak	optimal idr thresholded peaks	ENCSR076YPO	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				RNF2-human	DNA					False	2016-03-30	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF576LFG, ENCFF820ZTK, ENCFF844TQX	305539	ENCODE Processing Pipeline	1563fb6abad7b6e01e1a4b592835b343		https://www.encodeproject.org/files/ENCFF972LPT/@@download/ENCFF972LPT.bed.gz	hg19			released	NA	borderline replicate concordance, low read depth			
ENCFF337DKJ	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EGN	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				JUND-human	DNA		see document	see document		False	2011-10-29	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF159IRT, ENCFF367HPL, ENCFF844LUC	761693	ENCODE Processing Pipeline	3a2d773ef2c1c39f7ac48b0924f2febe		https://www.encodeproject.org/files/ENCFF337DKJ/@@download/ENCFF337DKJ.bed.gz	hg19			released	NA	borderline replicate concordance, inconsistent target of control experiment, low read depth, low read length	biological replicates with identical biosample		
